Neuron,URL
RICL,https://www.wormatlas.org/neurons/Individual%20Neurons/RICframeset.html
RICR,https://www.wormatlas.org/neurons/Individual%20Neurons/RICframeset.html
RID,https://www.wormatlas.org/neurons/Individual%20Neurons/RIDframeset.html
RIFL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIFframeset.html
RIFR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIFframeset.html
RIGL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIGframeset.html
RIGR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIGframeset.html
RIH,https://www.wormatlas.org/neurons/Individual%20Neurons/RIHframeset.html
RIML,https://www.wormatlas.org/neurons/Individual%20Neurons/RIMframeset.html
RIMR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIMframeset.html
RIPL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIPframeset.html
RIPR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIPframeset.html
RIR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIRframeset.html
RIS,https://www.wormatlas.org/neurons/Individual%20Neurons/RISframeset.html
RIVL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIVframeset.html
RIVR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIVframeset.html
RMDDL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMDDR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMDL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMDR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMDVL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMDVR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMDframeset.html
RMED,https://www.wormatlas.org/neurons/Individual%20Neurons/RMEframeset.html
RMEL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMEframeset.html
RMER,https://www.wormatlas.org/neurons/Individual%20Neurons/RMEframeset.html
RMEV,https://www.wormatlas.org/neurons/Individual%20Neurons/RMEframeset.html
RMFL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMFframeset.html
RMFR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMFframeset.html
RMGL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMGframeset.html
RMGR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMGframeset.html
RMHL,https://www.wormatlas.org/neurons/Individual%20Neurons/RMHframeset.html
RMHR,https://www.wormatlas.org/neurons/Individual%20Neurons/RMHframeset.html
SAADL,https://www.wormatlas.org/neurons/Individual%20Neurons/SAAframeset.html
SAADR,https://www.wormatlas.org/neurons/Individual%20Neurons/SAAframeset.html
SAAVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SAAframeset.html
SAAVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SAAframeset.html
SABD,https://www.wormatlas.org/neurons/Individual%20Neurons/SABframeset.html
SABVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SABframeset.html
SABVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SABframeset.html
SDQL,https://www.wormatlas.org/neurons/Individual%20Neurons/SDQframeset.html
SDQR,https://www.wormatlas.org/neurons/Individual%20Neurons/SDQframeset.html
SIADL,https://www.wormatlas.org/neurons/Individual%20Neurons/SIAframeset.html
SIADR,https://www.wormatlas.org/neurons/Individual%20Neurons/SIAframeset.html
SIAVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SIAframeset.html
SIAVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SIAframeset.html
SIBDL,https://www.wormatlas.org/neurons/Individual%20Neurons/SIBframeset.html
SIBDR,https://www.wormatlas.org/neurons/Individual%20Neurons/SIBframeset.html
SIBVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SIBframeset.html
SIBVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SIBframeset.html
SMBDL,https://www.wormatlas.org/neurons/Individual%20Neurons/SMBframeset.html
SMBDR,https://www.wormatlas.org/neurons/Individual%20Neurons/SMBframeset.html
SMBVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SMBframeset.html
SMBVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SMBframeset.html
SMDDL,https://www.wormatlas.org/neurons/Individual%20Neurons/SMDframeset.html
SMDDR,https://www.wormatlas.org/neurons/Individual%20Neurons/SMDframeset.html
SMDVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SMDframeset.html
SMDVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SMDframeset.html
SPCL,https://www.wormatlas.org/neurons/Individual%20Neurons/SPCframeset.html
SPCR,https://www.wormatlas.org/neurons/Individual%20Neurons/SPCframeset.html
SPDL,https://www.wormatlas.org/neurons/Individual%20Neurons/SPDframeset.html
SPDR,https://www.wormatlas.org/neurons/Individual%20Neurons/SPDframeset.html
SPVL,https://www.wormatlas.org/neurons/Individual%20Neurons/SPVframeset.html
SPVR,https://www.wormatlas.org/neurons/Individual%20Neurons/SPVframeset.html
URADL,https://www.wormatlas.org/neurons/Individual%20Neurons/URAframeset.html
URADR,https://www.wormatlas.org/neurons/Individual%20Neurons/URAframeset.html
URAVL,https://www.wormatlas.org/neurons/Individual%20Neurons/URAframeset.html
URAVR,https://www.wormatlas.org/neurons/Individual%20Neurons/URAframeset.html
URBL,https://www.wormatlas.org/neurons/Individual%20Neurons/URBframeset.html
URBR,https://www.wormatlas.org/neurons/Individual%20Neurons/URBframeset.html
URXL,https://www.wormatlas.org/neurons/Individual%20Neurons/URXframeset.html
URXR,https://www.wormatlas.org/neurons/Individual%20Neurons/URXframeset.html
URYDL,https://www.wormatlas.org/neurons/Individual%20Neurons/URYframeset.html
URYDR,https://www.wormatlas.org/neurons/Individual%20Neurons/URYframeset.html
URYVL,https://www.wormatlas.org/neurons/Individual%20Neurons/URYframeset.html
URYVR,https://www.wormatlas.org/neurons/Individual%20Neurons/URYframeset.html
